==6310== NVPROF is profiling process 6310, command: ./c++11_cuda
==6310== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==6310== Profiling application: ./c++11_cuda
==6310== Profiling result:
==6310== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"inst_per_warp","Instructions per warp",34264.531250,34264.531250,34264.531250
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"branch_efficiency","Branch Efficiency",84.472646%,84.472646%,84.472646%
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"warp_execution_efficiency","Warp Execution Efficiency",70.327011%,70.327011%,70.327011%
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",70.015333%,70.015333%,70.015333%
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000088,0.000088,0.000088
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",3.999980,3.999980,3.999980
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"gst_transactions_per_request","Global Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"gld_transactions","Global Load Transactions",402938,402938,402938
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"gst_transactions","Global Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"l2_read_transactions","L2 Read Transactions",169111,169111,169111
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"l2_write_transactions","L2 Write Transactions",68101,68101,68101
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"global_hit_rate","Global Hit Rate",74.999876%,74.999876%,74.999876%
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"gld_requested_throughput","Requested Global Load Throughput",5.603983GB/s,5.603983GB/s,5.603768GB/s
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"gst_requested_throughput","Requested Global Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"gld_throughput","Global Load Throughput",5.604013GB/s,5.604013GB/s,5.603768GB/s
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"gst_throughput","Global Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"tex_cache_hit_rate","Unified Cache Hit Rate",78.613707%,78.613707%,78.613707%
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"tex_cache_throughput","Unified Cache Throughput",22.415940GB/s,22.415940GB/s,22.415072GB/s
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",5.604013GB/s,5.604013GB/s,5.603768GB/s
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"l2_read_throughput","L2 Throughput (Reads)",9.407854GB/s,9.407854GB/s,9.407289GB/s
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"l2_write_throughput","L2 Throughput (Writes)",3.788543GB/s,3.788543GB/s,3.787689GB/s
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"sysmem_write_throughput","System Memory Write Throughput",291.666992KB/s,291.666992KB/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"gld_efficiency","Global Memory Load Efficiency",99.999473%,99.999473%,99.999473%
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"gst_efficiency","Global Memory Store Efficiency",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"tex_cache_transactions","Unified Cache Transactions",402938,402938,402938
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",0,0,0
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",0,0,0
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"inst_executed","Instructions Executed",2192930,2192930,2192930
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"inst_issued","Instructions Issued",2193122,2193122,2193122
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",8.363090%,8.363090%,8.363090%
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",19.062929%,19.062929%,19.062929%
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",71.091483%,71.091483%,71.091483%
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"stall_texture","Issue Stall Reasons (Texture)",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"stall_sync","Issue Stall Reasons (Synchronization)",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"stall_other","Issue Stall Reasons (Other)",1.177395%,1.177395%,1.177395%
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",0.063482%,0.063482%,0.063482%
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",0.187849%,0.187849%,0.187849%
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"inst_fp_32","FP Instructions(Single)",0,0,0
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"inst_fp_64","FP Instructions(Double)",0,0,0
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"inst_integer","Integer Instructions",29351889,29351889,29351889
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"inst_bit_convert","Bit-Convert Instructions",0,0,0
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"inst_control","Control-Flow Instructions",12825924,12825924,12825924
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"inst_compute_ld_st","Load/Store Instructions",3291591,3291591,3291591
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"inst_misc","Misc Instructions",3555673,3555673,3555673
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"inst_inter_thread_communication","Inter-Thread Instructions",107310,107310,107310
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"issue_slots","Issue Slots",1956083,1956083,1956083
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"cf_issued","Issued Control-Flow Instructions",539245,539245,539245
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"cf_executed","Executed Control-Flow Instructions",539245,539245,539245
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"ldst_issued","Issued Load/Store Instructions",539242,539242,539242
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"ldst_executed","Executed Load/Store Instructions",237039,237039,237039
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"atomic_transactions","Atomic Transactions",68088,68088,68088
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"atomic_transactions_per_request","Atomic Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"l2_atomic_throughput","L2 Throughput (Atomic requests)",3.787820GB/s,3.787820GB/s,3.787689GB/s
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"l2_atomic_transactions","L2 Transactions (Atomic requests)",136176,136176,136176
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"l2_tex_read_transactions","L2 Transactions (Texture Reads)",100735,100735,100735
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"stall_memory_throttle","Issue Stall Reasons (Memory Throttle)",0.000107%,0.000107%,0.000107%
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"stall_not_selected","Issue Stall Reasons (Not Selected)",0.053665%,0.053665%,0.053665%
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"l2_tex_write_transactions","L2 Transactions (Texture Writes)",0,0,0
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"flop_count_hp_add","Floating Point Operations(Half Precision Add)",0,0,0
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"flop_count_hp_mul","Floating Point Operation(Half Precision Mul)",0,0,0
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"flop_count_hp_fma","Floating Point Operations(Half Precision FMA)",0,0,0
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"inst_fp_16","HP Instructions(Half)",0,0,0
"GeForce GTX 1080 Ti (0)","xyzw_frequency(int*, char*, int)",1,"sysmem_read_utilization","System Memory Read Utilization","Idle (0)","Idle (0)","Idle (0)"
