==24760== NVPROF is profiling process 24760, command: ./cuSolverSp_LowlevelCholesky
==24760== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==24760== Profiling application: ./cuSolverSp_LowlevelCholesky
==24760== Profiling result:
==24760== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"inst_per_warp","Instructions per warp",127.886581,127.886581,127.886581
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"branch_efficiency","Branch Efficiency",99.977159%,99.977159%,99.977159%
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"warp_execution_efficiency","Warp Execution Efficiency",85.452943%,85.453138%,85.453040%
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",70.538882%,70.539155%,70.539018%
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"inst_replay_overhead","Instruction Replay Overhead",0.019898,0.021104,0.020501
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.666667,1.666667,1.666667
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.500000,1.500000,1.500000
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"gld_transactions_per_request","Global Load Transactions Per Request",6.799148,6.799148,6.799148
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"gst_transactions_per_request","Global Store Transactions Per Request",2.000000,2.000000,2.000000
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"shared_store_transactions","Shared Store Transactions",3750,3750,3750
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"shared_load_transactions","Shared Load Transactions",12500,12500,12500
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"gld_transactions","Global Load Transactions",51048,51048,51048
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"gst_transactions","Global Store Transactions",2500,2500,2500
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"l2_read_transactions","L2 Read Transactions",47853,47934,47893
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"l2_write_transactions","L2 Write Transactions",2513,2513,2513
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"global_hit_rate","Global Hit Rate",24.621924%,24.621924%,24.621924%
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"gld_requested_throughput","Requested Global Load Throughput",103.604961GB/s,107.870460GB/s,105.693936GB/s
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"gst_requested_throughput","Requested Global Store Throughput",11.508466GB/s,11.982278GB/s,11.739321GB/s
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"gld_throughput","Global Load Throughput",177.133698GB/s,184.426433GB/s,180.705450GB/s
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"gst_throughput","Global Store Throughput",11.508466GB/s,11.982278GB/s,11.739321GB/s
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"tex_cache_hit_rate","Unified Cache Hit Rate",49.989076%,49.995035%,49.992055%
"GeForce GTX 1080 Ti (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",72.859204%,99.893225%,86.376215%
