==7937== NVPROF is profiling process 7937, command: ./binomialOptions 0
==7937== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==7937== Profiling application: ./binomialOptions 0
==7937== Profiling result:
==7937== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","binomialOptionsKernel(void)",1,"inst_per_warp","Instructions per warp",59120.000000,59120.000000,59120.000000
"GeForce GTX 1080 Ti (0)","binomialOptionsKernel(void)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","binomialOptionsKernel(void)",1,"warp_execution_efficiency","Warp Execution Efficiency",86.163523%,86.163523%,86.163523%
"GeForce GTX 1080 Ti (0)","binomialOptionsKernel(void)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",84.360371%,84.360371%,84.360371%
"GeForce GTX 1080 Ti (0)","binomialOptionsKernel(void)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000003,0.000003,0.000003
"GeForce GTX 1080 Ti (0)","binomialOptionsKernel(void)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 1080 Ti (0)","binomialOptionsKernel(void)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 1080 Ti (0)","binomialOptionsKernel(void)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","binomialOptionsKernel(void)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","binomialOptionsKernel(void)",1,"gld_transactions_per_request","Global Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","binomialOptionsKernel(void)",1,"gst_transactions_per_request","Global Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 1080 Ti (0)","binomialOptionsKernel(void)",1,"shared_store_transactions","Shared Store Transactions",8389632,8389632,8389632
"GeForce GTX 1080 Ti (0)","binomialOptionsKernel(void)",1,"shared_load_transactions","Shared Load Transactions",8388608,8388608,8388608
"GeForce GTX 1080 Ti (0)","binomialOptionsKernel(void)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","binomialOptionsKernel(void)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","binomialOptionsKernel(void)",1,"gld_transactions","Global Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","binomialOptionsKernel(void)",1,"gst_transactions","Global Store Transactions",1024,1024,1024
"GeForce GTX 1080 Ti (0)","binomialOptionsKernel(void)",1,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","binomialOptionsKernel(void)",1,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 Ti (0)","binomialOptionsKernel(void)",1,"l2_read_transactions","L2 Read Transactions",5544,5544,5544
