==29027== NVPROF is profiling process 29027, command: ./mergeSort
==29027== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==29027== Profiling application: ./mergeSort
==29027== Profiling result:
==29027== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",24,"inst_per_warp","Instructions per warp",182.000000,468.000000,325.000000
"GeForce GTX 1080 Ti (0)","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",24,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",24,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",24,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",96.153846%,98.504274%,97.655206%
"GeForce GTX 1080 Ti (0)","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",24,"inst_replay_overhead","Instruction Replay Overhead",0.004274,0.010989,0.006699
"GeForce GTX 1080 Ti (0)","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",24,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",24,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",24,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",24,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",24,"gld_transactions_per_request","Global Load Transactions Per Request",5.533875,8.000000,6.284846
"GeForce GTX 1080 Ti (0)","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",24,"gst_transactions_per_request","Global Store Transactions Per Request",8.000000,10.224609,8.665324
"GeForce GTX 1080 Ti (0)","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",24,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",24,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",24,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",24,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",24,"gld_transactions","Global Load Transactions",40960,90670,65500
"GeForce GTX 1080 Ti (0)","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",24,"gst_transactions","Global Store Transactions",8192,10470,8873
"GeForce GTX 1080 Ti (0)","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",24,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",24,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 Ti (0)","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",24,"l2_read_transactions","L2 Read Transactions",20576,35493,27930
"GeForce GTX 1080 Ti (0)","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",24,"l2_write_transactions","L2 Write Transactions",8205,10483,8886
